Column Name,#,Demo Values,LLM Description,Informative Value,Data Type
FI Item(FI-AR) (BUZEI_FIAR),1,"'10','10','10'",Financial Accounting item number in Accounts Receivables that uniquely identifies each line item within an accounting document.,indirect,UIDs
G/L Account (HKONT),1," '22020000','161000', '111'","Contains the General Ledger account number where the transaction is posted, representing where the financial impact of the transaction is recorded",indirect,UIDs
GI Document (BELNR_GI),1," '4900362215.0','4900349464.0', '4900348699.0'","Goods Issue Document Number in Financial Accounting, indicating the document ID for goods issued",indirect,UIDs
GI Item (BUZEI_GI),1,"'1','1','1'","Line Item within a Goods Issue document, represents the specific entry in the document",indirect,UIDs
GR Document (FI-AR) (BELNR_GR),1," '5001157889.0','5001282448.0', '5001255464.0'",Goods Receipt Document Number in Financial Accounting Accounts Receivable indicating the document ID for goods received,indirect,UIDs
GR Item (BUZEI_GR),1,"'1','1','1'","The line item number in the goods receipt document, usually a numerical value.",indirect,UIDs
GR: FI Doc (GR_BELNR),1," '5000079593.0', '5000079600.0','5000079598.0'","Financial Document Number in SAP representing a unique identifier for a goods receipt transaction, formatted as a 10-digit number.",indirect,UIDs
GR: GR/IR Clearing (GR_AUGBL_GRIR),1,EMPTY,"Reference number of the clearing document for Goods Receipt/Invoice Receipt, important for matching invoices with goods received.",indirect,UIDs
Info Record (INFNR),1," '5300002612.0','5300002542.0', '5300002663.0'","Contains the information record number, which is a reference number for a vendor-material combination that stores purchasing information.",indirect,UIDs
IR Document (BELNR_IR),1,"'1234567890.0','1234567890.0','1234567890.0'","The unique document number for the invoice receipt, often numerical.",indirect,UIDs
IR Item (BUZEI_IR),1,"'10','10','10'","Line item number in an invoice receipt document, usually a numeric value",indirect,UIDs
IR: Clearing (IR_AUGBL),1,"'1200000001.0','1200000001.0','1200000001.0'",Reference number for the clearing document that proves an invoice was matched with its entry in the financial system.,indirect,UIDs
IR: FI Doc (IR_BELNR),1," '5100069220.0','5100069219.0', '5100050367.0'","Unique number identifying a Financial Accounting (FI) document within SAP, which is linked to an invoice receipt (IR).",indirect,UIDs
IR: GR/IR Clearing (IR_AUGBL_GRIR),1,"'1000000001.0','1000000001.0','1000000001.0'","Reference number of the clearing document for Invoice Receipt, important for closing out payment transactions.",indirect,UIDs
Item (BUZEI),1,"'1', '2','1'","The line item number in a document, represents individual entries in a transaction.",indirect,UIDs
Item (RSPOS),1,"'5', '3', '6'","Item number of a reservation,  usually a numeric value",indirect,UIDs
Last TO item (TAPOS),1,"'1', '2','1'","Represents the item number of the last transfer order, which can also be used in tracking and inventory management",indirect,UIDs
Last transfer order (TANUM),1," '10801','11202', '10801'","Stores the document number of the last transfer order, a critical element in warehouse operations and logistics",indirect,UIDs
Material (PLNBEZ),1," '000000000000215750','VANILLA_ICE', 'DIMP_MILL_PRD_PROCESS_ORDER_TEST_FERT_02'","Material identifies the material number associated with the task list, which can refer to raw materials, parts, or end products",indirect,UIDs
Material Doc. (MBLNR),1," '4900482489.0','4900481225.0', '4900480680.0'","A unique document number referencing material movements in inventory, such as receipts or issues.",indirect,UIDs
Object Number (OBJNR),1," 'OR000001931304', 'OR000001932009','OR000001931642'","Object Number is a unique identifier for an object within the SAP system, such as equipment, functional location, order, etc.",indirect,UIDs
Posting Key (BSCHL),1,"'31','31','31'","Defines the type of transaction, such as debit or credit, and determines the account type it's posted to - this affects how transactions are processed and displayed",indirect,UIDs
PrDocLogSys (VGSYS),1,EMPTY,"Contains the logical system of the purchase document origin, could be an alphanumeric identifier.",indirect,UIDs
Prod. Version (VERID),1,"'0001', 'P002', 'PV3'","Stores the specific version of the production process being used, which may include manufacturing steps and resource usage",indirect,UIDs
Ref. Transactn (AWTYP),1," 'BKPFF','BKPF', 'BKPFF'","Specifies the reference transaction type, which might be a particular document type or transaction code.",indirect,UIDs
Reference (XBLNR),1,EMPTY,"Stores a reference number for the document, like an invoice or purchase order number, which is used to match transactions to physical documents or other systems",indirect,UIDs
Reference Key (AWKEY),1," '5100058850F0012021', '5100000144CN882020','5100001612F0012017'",This is an automatic reference key that SAP generates to uniquely identify the transaction entry.,indirect,UIDs
RejectionReason (ABGRU),1," 'LV','04', '50'","The code or reason for rejection of a delivery or item, often alphanumeric.",indirect,UIDs
Release TCode (TCODE_RELEASE),1,"'ZFBL1N', 'YFB02', '/MRBR'","Transactional Code used for releasing a purchase order or document in SAP, indicating the code used in this operation.",indirect,UIDs
Requisn Item (BNFPO),1,EMPTY,"Contains the purchase requisition item number, often a sequential or unique identifier.",indirect,UIDs
Reservation (RSNUM),1,"'3949308', '3948209', '3948533'","Number associating the reservation with specific materials,  typically a numeric value",indirect,UIDs
Reversed With (STBLG),1," '5100001715.0', '5100001712.0','5100001713.0'","Stores the document number of the original document if the current document reverses a previous entry, helping to maintain a clear audit trail",indirect,UIDs
Sales Document (VBELN),1," '44549', '64620','58540'","The unique identification number of a sales document, like a sales order, usually a numerical code",indirect,UIDs
Schedule Line (ETENR),1,"'1','1','1'","A unique identifier for a schedule line in a sales order, which specifies the delivery dates and quantities",indirect,UIDs
SD Invoice (VBELN_INV),1,"'5200000010.0','5200000010.0','5200000010.0'","Sales and distribution (SD) invoice number, which is a unique identifier for each invoice record",indirect,UIDs
SD Invoice Item (POSNR_INV),1,"'10','10','10'","Invoice item number, identifying each line item within an invoice, which can be a sequence of integers",indirect,UIDs
Sold-to Party (KUNAG),1," 'LBN_CUS_CL', 'DOT-CU-02','0000012855'","This column stores the unique identifier for the customer who placed the order,  establishing a contract for sale.",indirect,UIDs
Sold-to Party (KUNNR),1,"'DSC_SPP_02', 'T42_BP_W42', '9000000143'","Customer number, identifying the recipient of the goods or services, usually a numeric or alphanumeric string.",indirect,UIDs
TCode (FI-AP) (TCODE_FIAP),1,EMPTY,"The transaction code used in SAP for Financial Accounting Accounts Payable processes, could be codes like 'FB60' for invoice entry.",indirect,UIDs
TCode (FI-AR) (TCODE_FIAR),1,EMPTY,"Transaction code in FI-AR indicating the specific process executed (e.g., FB70 for invoice creation)",indirect,UIDs
TCode Delivery (TCODE_DEL),1,"'SE38','SE38','SE38'","The transaction code related to the delivery process in SAP, which identifies the type of transaction carried out,  e.g., 'VL01N' for Create Delivery.",indirect,UIDs
Transaction (TCODE),1,EMPTY,"Stores the transaction code, which is the unique identifier for a specific transaction in the SAP system, like 'VA01' for creating sales orders.",indirect,UIDs
Transaction Code (TCODE_DEL),1,"'VL01', 'VA01', 'SE38'","The SAP transaction code used for the delivery process, usually alphanumeric.",indirect,UIDs
Transaction Code (TCODE2),1,"'CO11N', 'MB1A','CO11N'","The code representing a specific SAP transaction that was executed, such as creating or changing a record.",indirect,UIDs
Warehouse nr. (Del.) (LGNUM_LIPS),1,"'100','100','100'","The identifier for a delivery's warehouse, which can have numerical or alphanumeric values.",indirect,UIDs
Created By (ERNAM_DEL),1," 'MALITSKI', 'HAKINGA','BABAGOND'",The user ID of the person who created the delivery document.,indirect,UIDs
Delivery created by (ERNAM_DEL),1,"'FEIS','FEIS','FEIS'",Stores the identifier (username or ID) of the person who created the delivery entry.,indirect,UIDs
Delivery User Group (CLASS_DEL),1,"'TESTER','TESTER','TESTER'","User group classification which the delivery falls under, indicating the department or user group responsible",indirect,UIDs
Delivery User Type (USTYP_DEL),1,"'A','A','A'","Indicates the user type involved in the delivery process, such as 'Admin,' 'Customer,' or 'Supplier.'",indirect,UIDs
Group (Entered by) (CLASS),1,"'TESTER','TESTER','TESTER'","Typically contains the user group or user ID that entered the transaction, which may help in tracking who is responsible for certain data entries",indirect,UIDs
Prodn Supervisor (FEVOR),1,"'1.0','1.0','1.0'",Represents the production supervisor responsible for overseeing the manufacturing process,indirect,UIDs
Released by (USERNAME_RELEASE),1,"'LIUKIK','LIUKIK','LIUKIK'","The username of the person who released the document or transaction from a payment block, typically shown as a user ID.",indirect,UIDs
Requisitioner (AFNAM),1,EMPTY,The name or identifier of the person who has raised the requisition or purchase request.,indirect,UIDs
SD Inv. created by (ERNAM_INV),1,EMPTY,"The username or identifier of the employee who created the invoice, used for tracking and accountability",indirect,UIDs
SD Inv. User Group (CLASS_INV),1,EMPTY,"This represents the user group of the person who created the invoice, such as Sales or Accounting, which may be indicated by internal codes or descriptive names",indirect,UIDs
SD Inv. User Type (USTYP_INV),1,EMPTY,"This column contains the type of user who made the invoice, which could be an internal employee, external partner, etc., often represented by specific codes",indirect,UIDs
Parked By (PPNAM),1,EMPTY,Indicates the user name of the person who parked the document.,indirect,UIDs
